"Year...Month","Event","Deaths","Injured","Houses.Destroyed","Houses.Damaged","Directly.affected","Indirectly.Affected","Country","Category","Country_ID","Category_ID"
"1971/10","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1971/10","FLOOD",2,34,7,1,189,306,"Venezuela","Natural - Hydrological",7,7
"1971/10","LANDSLIDE",2,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1971/10","STORM",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1971/10","STRONGWIND",2,34,7,6,189,306,"Venezuela","Natural - Meteorological",7,8
"1971/11","FLOOD",1,34,12,27,90,306,"Venezuela","Natural - Hydrological",7,7
"1971/12","LANDSLIDE",1,34,1,27,189,306,"Venezuela","Natural - Geological",7,6
"1972/00","FLOOD",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1972/01","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/01","FLOOD",2,34,7,27,80,306,"Venezuela","Natural - Hydrological",7,7
"1972/01","FORESTFIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/02","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/02","FLOOD",2,34,7,27,189,4500,"Venezuela","Natural - Hydrological",7,7
"1972/03","FIRE",2,34,1,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/04","FLOOD",2,34,7,27,176,306,"Venezuela","Natural - Hydrological",7,7
"1972/04","LANDSLIDE",2,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1972/04","STORM",2,34,3,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1972/04","STRONGWIND",2,34,2,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1972/05","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/05","FLOOD",2,34,27,130,520,400,"Venezuela","Natural - Hydrological",7,7
"1972/05","LANDSLIDE",3,34,84,27,189,306,"Venezuela","Natural - Geological",7,6
"1972/05","RAIN",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1972/06","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/06","RAIN",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1972/07","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/07","LANDSLIDE",2,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1972/07","RAIN",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1972/08","FLOOD",2,34,7,27,4009,306,"Venezuela","Natural - Hydrological",7,7
"1972/09","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/09","FLOOD",2,34,7,30,189,306,"Venezuela","Natural - Hydrological",7,7
"1972/10","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/10","SURGE",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1972/11","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/11","FLOOD",2,34,7,27,135,306,"Venezuela","Natural - Hydrological",7,7
"1972/12","EXPLOSION",2,34,7,4,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1972/12","LANDSLIDE",3,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1973/00","SEDIMENTATION",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1973/01","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/01","FLOOD",2,34,15,27,1550,315,"Venezuela","Natural - Hydrological",7,7
"1973/01","LANDSLIDE",2,34,7,27,189,36,"Venezuela","Natural - Geological",7,6
"1973/02","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/03","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/03","FLOOD",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
