Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
2005/12,HAILSTORM,1,,,,,64,64,,,
2005/12,Heavy rains,24,,,,,3083,3083,,,
2005/12,Lightning,1,11,,,,11,11,,,
2006/01,Army worms,1,,,,,6146,6146,,,
2006/01,Floods,2,,,,,8524,8524,,,
2006/01,Heavy rains,1,,,,,1377,1377,,,
2006/02,Floods,10,,,,,,,,,
2006/02,HAILSTORM,3,,,,,1028,1028,,,
2006/03,Floods,16,,,,,4510,4510,,,
2006/03,Heavy rains,1,,,,,361,361,,,
2006/03,Rain Storm,1,,,,,44,44,,,
2006/04,Floods,5,,,,,400,400,,,
2006/10,HAILSTORM,1,,,,,70,70,,,
2006/11,Floods,6,,,,,379,379,,,
2006/11,HAILSTORM,1,,,,,70,70,,,
2006/11,Heavy rains,2,,,,,275,275,,,
2006/11,STORM,1,1,,,,117,117,,,
2006/11,Storm and heavy rains,2,2,,,,111,111,,,
2006/12,HAILSTORM,1,,,,,106,106,,,
2006/12,Heavy rains,3,,,,,155,155,,,
2006/12,"Heavy rains, storm and floods",3,,,,,107,107,,,
2007/01,Floods,3,,,,,445,445,,,
2007/01,Heavy rains,3,,,,,187,187,,,
2007/01,Heavy rains and storm,1,,,,,86,86,,,
2007/01,Heavy winds,1,,,,,50,50,,,
2007/01,Storm wind,1,,,,,69,69,,,
2007/02,Floods,11,,,,,1057,1057,,,
2007/02,Storm and heavy rains,1,,,,,111,111,,,
2007/03,Flooding of Bua river,1,,,,,470,470,,,
2007/03,HAILSTORM,1,2,3,,,10,10,,,
2007/03,Heavy rains,2,,,,,108,108,,,
2007/04,Heavy winds and rain,1,,4,,,291,291,,,
2007/10,Cyclone  and floods,1,,,,,17,17,,,
2007/10,Heavy rains and hailstorm,1,,,,,200,200,,,
2007/11,HAILSTORM,3,,,,,40,40,,,
2007/11,Hailstorm and heavy rains,3,,,,,33,33,,,
2007/11,Heavy rains,8,,,,,1033,1033,,,
2007/11,Heavy rains and strong winds,1,,,,,321,321,,,
2007/11,Heavy winds,1,1,,,,4,4,,,
2007/12,DROUGHT,1,,,,,3400,3400,,,
2007/12,Food Insecurity,1,,,,,,,,,
2007/12,HAILSTORM,3,,,,,183,183,,,
2007/12,Hailstorm and cyclone,1,,,,,4,4,,,
2007/12,Heavy rains,1,,,,,45,45,,,
2007/12,Heavy winds and rains,1,,,,,19,19,,,
2008/01,Floods,16,,,,,9561,9561,,,
2008/01,Hailstorm and heavy rains,1,,,,,960,960,,,
2008/01,Heavy rains,3,,,,,56,56,,,
2008/01,Heavy Storm,1,,,,,116,116,,,
2008/01,STORM,1,,,,,17,17,,,
2008/02,Floods,8,,,,,1260,1260,,,
2008/02,HAILSTORM,3,,,,,75,75,,,
2008/02,Heavy rains and strong winds,1,,,,,1000,1000,,,
2008/02,STORM,1,,,,,16,16,,,
2008/03,Floods,1,,,,,40,40,,,
2008/03,HAILSTORM,1,,,,,10,10,,,
2008/04,Floods,7,,,,,1073,1073,,,
2008/04,Heavy winds,1,,,,,9,9,,,
2008/05,DROUGHT,2,,,,,2552,2552,,,
2009/11,Cyclone and Rainstorm,1,,,,,975,975,,,
2009/11,FIRE,1,,,,,20,20,,,
2009/11,Hailstorm & Cyclone winds,2,,,,,38,38,,,
2009/11,Hailstorms,7,,,,,291,291,,,
2009/11,Heavy Hailstorms and Rains,1,,,,,61,61,,,
2009/11,Strong winds,1,,,,,175,175,,,
2009/12,CYCLONE,2,,,,,,,,,
2009/12,Cyclone wind,1,,,,,204,204,,,
2009/12,EARTHQUAKE,3,,,,,48710,48710,,,
2009/12,HAILSTORM,1,,,,,89,89,,,
2009/12,Heavy storms,5,,,,,135,135,,,
2009/12,Rainstorms,3,,,,,19,19,,,
2009/12,Strong winds,1,,,,,83,83,,,
2010/01,Hailstorms,1,,,,,20,20,,,
2010/01,Rainstorms,1,,,,,,,,,
2010/02,EARTHQUAKE,3,,,,,940,940,,,
2010/02,Floods,2,,,,,118,118,,,
2010/02,Hailstorms,2,,,,,,,,,
2010/02,Strong winds,1,,,,,27,27,,,
2010/03,Floods,3,,,,,952,952,,,
2010/04,CYCLONE,1,,,,,28,28,,,
2010/08,FIRE,1,,,,,5,5,,,
2010/11,Floods,1,,,,,100,100,,,
2010/11,HAILSTORM,15,,,,,1064,1064,,,
2010/11,Heavy rains,2,,,,,141,141,,,
2010/11,Rainstorm,5,,,,,289,289,,,
2010/11,Storms,1,,,,,61,61,,,
2010/12,HAILSTORM,2,,,,,165,165,,,
2010/12,Rainstorm,5,,,,,189,189,,,
2010/12,Storms,1,,,,,22,22,,,
2010/12,Strong winds,1,,,,,27,27,,,
2010/12,,1,,,,,270,270,,,
2011/01,Floods,2,,,,,80,80,,,
2011/01,Rainstorm,2,,,,,192,192,,,
2011/02,Floods,1,,,,,36,36,,,
2011/02,HAILSTORM,2,,,,,210,210,,,
2011/02,Stormy Rains,1,,,,,115,115,,,
2011/03,Floods,6,,,,,1255,1255,,,
2011/03,Rainstorm,1,,,,,46,46,,,
2011/04,Floods,3,,,,,719,719,,,
2011/07,Floods,1,,,,,16,16,,,
2011/07,Stormy Rains,1,,,,,52,52,,,
2011/08,Floods,1,,,,,15,15,,,
2011/09,Floods,2,,,,,68,68,,,
2011/10,Floods,1,,,,,68,68,,,
2011/10,Stormy Rains,2,,,,,35,35,,,
2011/11,Floods,1,,,,,40,40,,,
2011/11,Stormy Rains,3,,,,,109,109,,,
2011/12,Stormy Rains,8,,,,,2518,2518,,,
2011/12,Strong winds,2,,,,,59,59,,,
2012/01,Floods,4,,,,,549,549,,,
2012/01,Stormy Rains,3,,,,,129,129,,,
2012/01,Strong winds,1,,,,,546,546,,,
2012/02,Stormy Rains,5,,,,,463,463,,,
2012/02,Strong winds,1,,,,,131,131,,,
2012/07,Stormy Rains,1,,,,,29,29,,,
2012/07,Strong winds,1,,,,,23,23,,,
2012/08,Strong winds,1,,,,,156,156,,,
2012/09,Floods,1,,,,,,,,,
2012/10,Civil strife and Police arson,1,,,,,28,28,,,
2012/11,Floods,2,,,,,430,430,,,
