Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1971/09,FIRE,3,3,18,1,,,,,,
1971/09,FLOOD,11,,,,,100,,,,540
1971/09,STRUCTURE,2,,2,,,,,,,
1971/10,FIRE,4,2,1,,1,,,,,
1971/10,FLOOD,1,,,,,,,,,
1971/10,FROST,4,,,,,,,,,
1971/10,POLLUTION,1,,11,,,,,,,
1971/10,STORM,6,,,,,,,,,93
1971/11,ALLUVION,2,1,,,,,,,,55
1971/11,DROUGHT,22,,,,,,,,,
1971/11,EXPLOSION,2,1,,,30,,,,,120
1971/11,FIRE,9,,2,,15,,,,,60
1971/11,HAILSTORM,3,,,,,,,,,
1971/11,POLLUTION,1,3,,,,,,,,
1971/11,STRUCTURE,1,,1,,,,,,,
1971/12,DROUGHT,6,,,,,,,,,
1971/12,FIRE,1,,,,80,,400,,,
1971/12,FROST,10,,,,,,,,,
1971/12,STORM,10,3,,,,,,,,
1971/12,STRONGWIND,4,,18,,,,,,,
1971/12,STRUCTURE,2,,,,15,,,,,60
1972/01,BIOLOGICAL,1,,,,,,,,,
1972/01,DROUGHT,3,,,,,,,,,
1972/01,EPIDEMIC,4,,85,,,,,,,
1972/01,EXPLOSION,1,3,18,13,,,,,,
1972/01,FIRE,6,2,8,,,,,,,
1972/01,FLOOD,1,,,,,,,,,
1972/01,HAILSTORM,1,,,,,,,,,
1972/01,PLAGUE,1,,8,,,,,,,
1972/01,STORM,1,,,,,,,,,
1972/02,DROUGHT,22,,,,,,,,,
1972/02,EPIDEMIC,1,,13,,,,,,,
1972/02,EXPLOSION,2,1,29,,,,,,,
1972/02,FIRE,9,,1,,150,,,,,540
1972/02,FLOOD,3,,,,30,,,,,383
1972/02,FORESTFIRE,3,,,,,,,,,
1972/02,HAILSTORM,2,,,,,,,,,
1972/02,PLAGUE,1,,10,,,,,,,
1972/02,STORM,7,2,1,,1,,,,,
1972/03,AVALANCHE,1,3,,,,,,,,
1972/03,DROUGHT,7,,,,,,,,,
1972/03,EXPLOSION,1,,,,,,,,,
1972/03,FIRE,3,,1,,,,,,,
1972/03,POLLUTION,2,2,22,,,,,,,
1972/03,STORM,11,,30,,100,,,,,1200
1972/03,STRUCTURE,1,3,1,,,,,,,
1972/04,DROUGHT,10,,,,,,,,,
1972/04,FIRE,10,8,9,,43,45,215,,,
1972/04,FLOOD,2,,,,200,,,,,800
1972/04,FROST,16,,,,,,,,,
1972/04,POLLUTION,1,6,10,,,,,,,
1972/04,STORM,1,,,,,3,,12,,
1972/04,STRUCTURE,1,,1,,,,,,,
1972/05,EPIDEMIC,8,,283,,,,,,,
1972/05,EXPLOSION,1,2,7,,,,,,,
1972/05,FIRE,9,1,4,,5,,16,,,
1972/05,FLOOD,33,,,,254,195,89,20,,3927
1972/05,FOG,2,,,,,,,,,
1972/05,FROST,1,1,,,,,,,,
1972/05,LANDSLIDE,1,4,,,,,,,,
1972/05,SNOWSTORM,16,,,,1,,,275,,49
1972/06,DROUGHT,1,,,,,,,,,
1972/06,EXPLOSION,2,,2,,,2,,,,
1972/06,FIRE,5,,,,40,,,,,200
1972/06,FLOOD,26,,,,94,36,480,,,12731
1972/06,POLLUTION,1,9,5,,,,,,,
1972/06,SNOWSTORM,23,,,,90,100,490,25,,355
1972/06,STORM,4,2,,,,,,,,350
1972/07,EXPLOSION,2,3,81,,,,,,,200
1972/07,FIRE,3,,,,80,,120,,,300
1972/07,FLOOD,3,,,,,,,,,67
1972/07,FROST,6,1,1,,,,,,,
1972/07,LANDSLIDE,1,,,,,,,,,
1972/07,STRONGWIND,1,,3,,3,,,,,
1972/08,EXPLOSION,2,,1,,1,,,,,
1972/08,FIRE,7,,4,,,,,550,,400
1972/08,FLOOD,37,,,,,,,,,2885
1972/08,FORESTFIRE,3,,,,,,,,,
1972/08,LEAK,5,13,1,,,,,,,
1972/08,POLLUTION,1,1,1,,,,,,,
1972/08,SNOWSTORM,2,,,,,,,,,
1972/08,STORM,20,,,,,,,,,2437
1972/08,STRONGWIND,1,,,,,,,,,
1972/08,STRUCTURE,2,3,9,,1,,,,,
1972/09,FIRE,1,5,2,,1,,,,,
1972/09,FLOOD,39,1,,,50,400,,1500,,7668
1972/09,SNOWSTORM,3,1,1,,,,,320,,19
1972/09,STRONGWIND,1,,2,,,,,,,
